FILIAL;REFERÊNCIA_COR;DESCRIÇÃO_PRODUTO;CATEGORIA;SUB CATEGORIA;VALOR_VENDA;QTDE_ESTOQUE;STATUS_REFERÊNCIA;MOTIVO_STATUS;STATUS_DESATIVADO
LOJA 04;29.17041_30159;BLUSA MANGA CURTA ESTAMPA GOTA MINI     ;BLUSA;BLUSA;99;2;COM FOTO;ATIVO NO SITE;0
LOJA 04;29.17043_0024;BLUSA SILK LIFE GOES ON OFF             ;BLUSA;BLUSA;218;2;COM FOTO;DESATIVADO;FALTA DE PADRÃO NO TAMANHO
LOJA 04;29.17031_0024;BLUSA SILK FLAMING HEART OFF            ;BLUSA;BLUSA;89;2;COM FOTO;ATIVO NO SITE;0
LOJA 04;29.16906_04312;BLUSA TRICOT TRANCAS                    ;BLUSA;BLUSA;398;2;COM FOTO;ATIVO NO SITE;0
LOJA 04;29.17316_30209;VESTIDO MIDI ESTAMPA LISTRA POA         ;VESTIDO;VESTIDO;478;2;COM FOTO;FOTO TRATAMENTO;0
LOJA 04;29.16752_04321;SHORT PALA PREGAS                       ;BERMUDA /SHORT;SHORT;119;2;COM FOTO;ATIVO NO SITE;0
LOJA 04;29.17058_27672;VESTIDO MIDI ESTAMPA PORCELANA DECORADO ;VESTIDO;VESTIDO;199;2;COM FOTO;DESATIVADO;FALTA DE PADRÃO NO TAMANHO
LOJA 04;29.17357_04329;MACACAO BARRA BORDADA                   ;MACACAO;MACACAO;578;2;SEM FOTO;SEM FOTO;0
LOJA 04;29.16719_0005;CAMISA LISTRA BAUHAUS PRETO             ;BLUSA;CAMISA;119;2;COM FOTO;ATIVO NO SITE;0
LOJA 04;29.17076_30205;VESTIDO GGT ESTAMPA HERA MIDI           ;VESTIDO;VESTIDO;399;2;COM FOTO;ATIVO NO SITE;0
LOJA 04;29.16668_2206;MACACAO PANTALONA FAIXA                 ;MACACAO;MACACAO;298;2;SEM FOTO;SEM FOTO;0
LOJA 04;29.17244_04328;CALCA TUNEL AMARRACAO                   ;CALÇA;CALÇA;199;2;COM FOTO;DESATIVADO;FALTA DE PADRÃO NO TAMANHO
LOJA 04;29.16673_30022;BLUSA MANGA LONGA NATUREZA MATCHA       ;BLUSA;BLUSA;118;2;COM FOTO;ATIVO NO SITE;0
LOJA 04;29.17259_0068;BRINCO METAL VAZADO                     ;ACESSÓRIO;BRINCO;39;2;COM FOTO;ATIVO NO SITE;0
LOJA 04;29.16922_04319;BLUSA DECOTE ROLOTE                     ;BLUSA;BLUSA;218;2;COM FOTO;ATIVO NO SITE;0
LOJA 04;29.17434_0024;VESTIDO TRICOT LISTRADO MANGA CURTA     ;VESTIDO;VESTIDO;518;2;COM FOTO;ATIVO NO SITE;0
LOJA 04;29.17278_0024;COLAR MEDALHAS MICANGAS                 ;ACESSÓRIO;COLAR;39;2;COM FOTO;ATIVO NO SITE;0
LOJA 04;29.16854_04312;SHORT COS AMARRACAO                     ;BERMUDA /SHORT;SHORT;129;2;COM FOTO;ATIVO NO SITE;0
LOJA 04;29.16604_0005;BLUSA CROPPED PONTEIRAS                 ;BLUSA;BLUSA;89;2;SEM FOTO;SEM FOTO;0
LOJA 04;29.17458_031;CALCA TRICOT LINHO MANGA LONGA          ;CALÇA;CALÇA;249;2;COM FOTO;ATIVO NO SITE;0
LOJA 04;29.17290_0068;COLAR ELOS CRISTAIS                     ;ACESSÓRIO;COLAR;69;2;COM FOTO;ATIVO NO SITE;0
LOJA 04;29.17053_04313;VESTIDO MIDI ELASTICO OMBRO             ;VESTIDO;VESTIDO;398;2;COM FOTO;FOTO TRATAMENTO;0
LOJA 04;29.16487_0024;BLUSA TRICOT LISTRAS                    ;BLUSA;BLUSA;498;2;COM FOTO;ATIVO NO SITE;0
LOJA 04;29.16550_0091;CALCA JEANS CINTURA BAIXA               ;CALÇA;CALÇA;189;2;COM FOTO;ATIVO NO SITE;0
LOJA 04;29.15877_30025;VESTIDO MIDI ESTAMPA SELO               ;VESTIDO;VESTIDO;398;2;COM FOTO;DESATIVADO;FALTA DE PADRÃO NO TAMANHO
LOJA 04;29.15876_30047;VESTIDO MIDI ESTAMPA VOA ROYAL          ;VESTIDO;VESTIDO;598;2;COM FOTO;DESATIVADO;PROBLEMAS DE QUALIDADE DO PRODUTO
LOJA 04;29.16545_2291;SHORT JEANS BLACK MIX LAVAGEM           ;BERMUDA /SHORT;SHORT;318;2;COM FOTO;ATIVO NO SITE;0
LOJA 04;29.16084_30158;VESTIDO MIDI ESTAMPA GOTA               ;VESTIDO;VESTIDO;169;2;COM FOTO;ATIVO NO SITE;0
LOJA 04;29.16410_04360;RASTEIRA CRISTAIS COURO VIRA            ;SAPATO;RASTEIRA;239;2;COM FOTO;ATIVO NO SITE;0
LOJA 04;29.15921_30015;CALCA ESTAMPA CERDA                     ;CALÇA;CALÇA;189;2;COM FOTO;ATIVO NO SITE;0
LOJA 04;29.16302_0005;CAMISA MANGA LONGA LAISE BICOLOR        ;BLUSA;CAMISA;199;2;COM FOTO;ATIVO NO SITE;0
LOJA 04;29.16502_0005;CASACO TRICOT TELA COM BOLSOS           ;CASACO / JAQUETA;CASACO;259;2;COM FOTO;ATIVO NO SITE;0
LOJA 04;29.15963_1500;BLUSA TRICOT DECOTE V PONTO COLMEIA     ;BLUSA;BLUSA;199;2;COM FOTO;ATIVO NO SITE;0
